Strategy,Candles,Total_Return,Max_Drawdown,Calmar_Ratio,Total_Trades,Score,Buy_Hold_Return,Outperformance
adaptive_ema_v2,300,24.90,8.17,3.05,21,30.46,1.78,23.12
adaptive_ema_v2,600,46.33,8.34,5.55,46,55.55,9.82,36.51
adaptive_ema_v2,1100,91.39,8.42,10.86,87,108.59,65.01,26.38
adaptive_ema_v2,1400,82.59,13.24,6.24,105,62.39,51.09,31.51
adaptive_ema_v2,1700,106.95,13.24,8.08,130,80.78,26.00,80.94
adaptive_ema_v2,2000,146.64,13.24,11.08,151,110.76,51.42,95.21
adaptive_ema_v2,2500,218.53,19.84,11.01,204,110.13,51.06,167.47
adaptive_ema_v2.1,300,10.53,8.10,1.30,7,12.99,1.78,8.75
adaptive_ema_v2.1,600,33.93,11.06,3.07,53,30.67,9.82,24.10
adaptive_ema_v2.1,1100,76.68,10.55,7.27,90,72.68,65.01,11.68
adaptive_ema_v2.1,1400,39.84,13.42,2.97,31,29.68,51.09,-11.25
adaptive_ema_v2.1,1700,47.92,13.09,3.66,40,36.60,26.00,21.92
adaptive_ema_v2.1,2000,103.69,20.73,5.00,161,50.02,51.42,52.27
adaptive_ema_v2.1,2500,142.44,20.73,6.87,147,68.72,51.06,91.38
