Strategy,Candles,Total_Return,Max_Drawdown,Calmar_Ratio,Total_Trades,Score,Buy_Hold_Return,Outperformance
adaptive_ema_v1,600,8.43,2.50,3.38,8,33.78,5.38,3.05
adaptive_ema_v1,1000,21.55,2.84,7.58,13,75.82,31.90,-10.35
adaptive_ema_v1,1400,25.51,7.32,3.49,22,34.86,14.07,11.44
adaptive_ema_v1,1700,22.05,10.96,2.01,29,20.12,16.79,5.27
adaptive_ema_v1,2000,23.71,10.96,2.16,38,21.63,20.67,3.04
adaptive_ema_v1,2500,ERROR,,,,,,
adaptive_ema_v2,600,18.43,4.14,4.45,40,44.50,5.38,13.05
adaptive_ema_v2,1000,34.04,4.29,7.93,71,79.28,31.90,2.15
adaptive_ema_v2,1400,27.34,4.45,6.14,26,61.44,14.07,13.27
adaptive_ema_v2,1700,25.46,4.60,5.53,31,55.30,16.79,8.68
adaptive_ema_v2,2000,32.49,4.60,7.06,43,70.57,20.67,11.83
adaptive_ema_v2,2500,41.73,7.61,5.49,52,54.86,26.27,15.46
adaptive_ema_v3,600,ERROR,,,,,,
adaptive_ema_v3,1000,ERROR,,,,,,
