Strategy,Candles,Total_Return,Max_Drawdown,Calmar_Ratio,Total_Trades,Score,Buy_Hold_Return,Outperformance
adaptive_ema_v2,300,6.29,10.28,0.61,7,6.12,1.78,4.51
adaptive_ema_v2,500,8.10,10.28,0.79,13,7.88,4.52,3.57
adaptive_ema_v2,600,8.76,10.28,0.85,14,8.53,9.82,-1.06
adaptive_ema_v2,800,24.45,10.28,2.38,19,23.79,31.73,-7.28
adaptive_ema_v2,1100,41.93,10.28,4.08,27,40.80,65.01,-23.08
adaptive_ema_v2,1400,30.61,19.70,1.55,35,15.54,51.09,-20.48
adaptive_ema_v2,1700,32.12,19.70,1.63,43,16.31,26.00,6.12
adaptive_ema_v2,2000,43.07,19.70,2.19,52,21.86,51.42,-8.35
adaptive_ema_v2,2250,47.77,19.70,2.43,57,24.25,73.20,-25.42
adaptive_ema_v2,2500,44.28,19.70,2.25,67,22.48,51.06,-6.78
adaptive_ema_v2.1,300,7.85,11.52,0.68,24,6.81,1.78,6.07
adaptive_ema_v2.1,500,20.37,11.52,1.77,45,17.69,4.52,15.85
adaptive_ema_v2.1,600,26.49,11.52,2.30,52,23.00,9.82,16.67
adaptive_ema_v2.1,800,43.38,11.52,3.77,72,37.66,31.73,11.65
adaptive_ema_v2.1,1100,60.91,11.52,5.29,92,52.88,65.01,-4.10
adaptive_ema_v2.1,1400,27.97,32.74,0.85,109,8.54,51.09,-23.12
adaptive_ema_v2.1,1700,42.13,32.74,1.29,130,12.87,26.00,16.12
adaptive_ema_v2.1,2000,69.46,32.74,2.12,154,21.21,51.42,18.04
adaptive_ema_v2.1,2250,79.56,32.74,2.43,150,24.30,73.20,6.36
adaptive_ema_v2.1,2500,88.83,32.74,2.71,141,27.13,51.06,37.76
adaptive_ema_v2.2,300,7.50,10.28,0.73,8,7.30,1.78,5.72
adaptive_ema_v2.2,500,9.04,10.28,0.88,14,8.80,4.52,4.52
adaptive_ema_v2.2,600,12.25,10.28,1.19,16,11.92,9.82,2.43
adaptive_ema_v2.2,800,25.71,10.28,2.50,20,25.03,31.73,-6.01
adaptive_ema_v2.2,1100,41.73,10.28,4.06,30,40.62,65.01,-23.27
adaptive_ema_v2.2,1400,25.86,20.94,1.24,36,12.35,51.09,-25.23
adaptive_ema_v2.2,1700,26.84,20.94,1.28,44,12.82,26.00,0.83
adaptive_ema_v2.2,2000,37.22,20.94,1.78,53,17.78,51.42,-14.20
adaptive_ema_v2.2,2250,44.33,20.94,2.12,57,21.17,73.20,-28.87
adaptive_ema_v2.2,2500,41.03,20.94,1.96,65,19.60,51.06,-10.03
adaptive_ema_v4,300,9.68,4.41,2.20,3,21.96,1.78,7.90
adaptive_ema_v4,500,7.01,4.41,1.59,5,15.91,4.52,2.49
adaptive_ema_v4,600,8.90,4.41,2.02,6,20.18,9.82,-0.93
adaptive_ema_v4,800,18.26,4.41,4.14,8,41.42,31.73,-13.46
adaptive_ema_v4,1100,33.53,8.93,3.76,12,37.56,65.01,-31.48
adaptive_ema_v4,1400,28.61,7.18,3.99,13,39.87,51.09,-22.47
adaptive_ema_v4,1700,25.86,7.48,3.46,18,34.56,26.00,-0.14
adaptive_ema_v4,2000,31.67,7.48,4.23,20,42.32,51.42,-19.75
adaptive_ema_v4,2250,32.00,10.18,3.14,26,31.43,73.20,-41.20
adaptive_ema_v4,2500,24.68,10.18,2.42,30,24.23,51.06,-26.39
