Strategy,Candles,Total_Return,Max_Drawdown,Calmar_Ratio,Total_Trades,Score,Buy_Hold_Return,Outperformance
adaptive_ema_v1,600,8.43,2.50,3.38,8,33.78,5.38,3.05
adaptive_ema_v1,1000,21.55,2.84,7.58,13,75.82,31.90,-10.35
adaptive_ema_v1,1400,25.59,7.32,3.50,22,34.97,14.07,11.52
adaptive_ema_v1,1700,22.13,10.96,2.02,29,20.19,16.79,5.34
adaptive_ema_v1,2000,ERROR,,,,,,
adaptive_ema_v1,2500,ERROR,,,,,,
adaptive_ema_v2,600,18.43,4.14,4.45,40,44.50,5.38,13.05
adaptive_ema_v2,1000,34.04,4.29,7.93,71,79.28,31.90,2.15
adaptive_ema_v2,1400,27.34,4.45,6.14,26,61.44,14.07,13.27
adaptive_ema_v2,1700,25.46,4.60,5.53,31,55.30,16.79,8.68
adaptive_ema_v2,2000,32.49,4.60,7.06,43,70.57,20.67,11.83
adaptive_ema_v2,2500,42.45,7.55,5.62,59,56.21,26.27,9.45
adaptive_ema_v4,600,8.70,1.13,7.69,6,76.92,5.38,3.32
adaptive_ema_v4,1000,14.00,1.13,12.37,5,123.72,31.90,-17.90
adaptive_ema_v4,1400,13.95,1.13,12.33,5,123.28,14.07,-0.12
adaptive_ema_v4,1700,17.78,1.13,15.71,5,157.13,16.79,0.99
adaptive_ema_v4,2000,17.91,1.13,15.83,7,158.26,20.67,-2.76
adaptive_ema_v4,2500,17.06,1.13,15.08,8,150.79,26.27,-9.21
ema_simple_v1,600,5.70,3.52,1.62,7,16.19,5.38,0.32
ema_simple_v1,1000,24.88,4.09,6.09,14,60.89,31.90,-7.02
ema_simple_v1,1400,16.94,7.55,2.24,46,22.44,14.07,2.87
ema_simple_v1,1700,22.06,9.09,2.43,45,24.27,16.79,5.27
ema_simple_v1,2000,24.04,9.09,2.64,55,26.44,20.67,3.37
ema_simple_v1,2500,34.50,9.09,3.80,67,37.95,26.27,8.23
